rank_album,album_name,artist_name,release_date,total_year_end_score,genre,artist_check,logic,,,,,,
86,"Playing the Hits of Garth Brooks, Vol. 2",The Nashville All-Stars,10/6/2015,28102,Tribute/Cover Album,The Nashville All-Stars,TRUE,,,,,,
87,Blonde,Frank Ocean,8/20/2016,27795,Alternative R&B,Frank Ocean,TRUE,,,,,,
88,24K Magic,Bruno Mars,11/17/2016,27685,Funk,Bruno Mars,TRUE,,,,,,
88,"Too Weird To Live, Too Rare To Die!",Panic! At The Disco,10/4/2013,27685,Pop Rock,Panic! At The Disco,TRUE,,,,,,
90,Mr. Misunderstood,Eric Church,11/11/2015,27684,Country Rock,Eric Church,TRUE,,,,,,
91,Starboy,The Weeknd,11/25/2016,27486,R&B,The Weeknd,TRUE,,,,,,
91,Babel,Mumford & Sons,9/21/2012,27486,Folk/Rock,Mumford & Sons,TRUE,,,,,,
91,"Also Sprach Zarathustra (From 2001: A Space Odyssey"" Soundtrack)""",Hanny Williams,5/26/2014,27486,Pop,Hanny Williams,TRUE,,,,,,
94,The Essential R. Kelly,R. Kelly,5/19/2014,27420,R&B,R. Kelly,TRUE,,,,,,
95,Four The Record,Miranda Lambert,11/1/2011,27269,Country,Miranda Lambert,TRUE,,,,,,
96,Islah (Deluxe),Kevin Gates,1/29/2016,27070,Hip-Hop/Rap,Kevin Gates,TRUE,,,,,,
97,Pure Heroine,Lorde,1/1/2013,26963,Pop,Lorde,TRUE,,,,,,
98,Dark Sky Paradise,Big Sean,2/24/2015,26871,Hip-Hop/Rap,Big Sean,TRUE,,,,,,
98,Night Train,Jason Aldean,10/16/2012,26871,Country,Jason Aldean,TRUE,,,,,,
100,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",Five Finger Death Punch,7/26/2013,26764,Metal,Five Finger Death Punch,TRUE,,,,,,
