artist_id,year_end_score,is_pop,year,artist_name,parent_genre
13FswnDmTIttTpiK9PS0BI,197,0,2014,Army Of The Pharaohs,Hip Hop
3ix4iw2URncSdE7X292bXy,194,0,2014,PHOX,Pop
6dC0rIJNLSFZwqckLgXJ8p,193,0,2014,Timeflies,Pop
5r5Va4lVQ1zjEfbJSrmCsS,193,0,2014,Broods,Rock
26T3LtbuGT1Fu9m0eRq5X3,192,0,2014,Cage The Elephant,Rock
5G9kmDLg3OeUyj8KVBLzbu,188,0,2014,Mike Stud,Hip Hop
6KVnMm856M8CHHBCw53Ihh,188,0,2014,Natalie Grant,Christian
5dMnvpYEfXvSexjwnSRH5n,186,0,2014,RaeLynn,Country & Folk
0C0XlULifJtAgn6ZNCW2eu,184,0,2014,The Killers,Rock
4x1nvY2FN8jxqAFA0DA02H,184,0,2014,John Lennon,Rock
7871fSXc37bZiC4UXaY35j,182,0,2014,Ian Anderson,Rock
3K2zB87GZv1krx031en5VA,181,0,2014,La Roux,Electronic
716ZwtZBmwROBXcFmCzfdM,180,0,2014,Andrew McMahon in the Wilderness,Pop
2OTuoIi28WybVbVcykc237,180,0,2014,Miss May I,Rock
77GSkIzDaduRlIbNjlvefc,180,0,2014,Frank Foster,Country & Folk
51J0q8S7W3kIEYHQi3EPqk,177,0,2014,Bayside,Rock
6GoUnnxRsQtfSLcL3JPtHT,177,0,2014,Nick & Knight,Pop
3IstlZaHyUP9SONpulb4SM,176,0,2014,Chris Webby,Hip Hop
3zxKH0qp3nBCuPZCZT5Vaf,175,0,2014,Yellowcard,Pop
05tyvnDgYMhgagYbUx9td4,175,0,2014,Jacob Whitesides,Pop
25hbSOMmbhgqvonjC876UJ,175,0,2014,Aer,Hip Hop
2oX42qP5ineK3hrhBECLmj,174,0,2014,Andy Grammer,R&B & Funk
3utxjLheHaVEd9bPjQRsy8,173,0,2014,Coheed and Cambria,Rock
3QHJftSfNb6KIerLVsx7zn,173,0,2014,The Color Morale,Christian
1BSXtdFlVDUOS6g1T3tmME,172,0,2014,We Are The In Crowd,Pop
6aUV3Fndwagje8d4rBA3xw,171,0,2014,Family Force 5,Christian
3Sz7ZnJQBIHsXLUSo0OQtM,171,0,2014,Mac DeMarco,Rock
4tDkeVxH0CSkNiLVrsYmQs,170,0,2014,The Acacia Strain,Rock
3xvHWAD1Bz6vvVmVMPpZJs,169,0,2014,For Today,Christian
4D75GcNG95ebPtNvoNVXhz,169,0,2014,Afrojack,Electronic
0O98jlCaPzvsoei6U5jfEL,169,0,2014,Damon Albarn,Electronic
1CF8aEN939swnuIZGFI7Hk,168,0,2014,The Word Alive,Rock
78SHxLdtysAXgywQ4vE0Oa,168,0,2014,Bush,Rock
3mJ9GlkLzj8Ka7Z7EQaCMi,168,0,2014,Watsky,Avant-Garde & Experimental
40Yq4vzPs9VNUrIBG5Jr2i,168,0,2014,The Smashing Pumpkins,Rock
4IliztYDlfMvzQzbx50o60,168,0,2014,Flyleaf,Rock
5pdyjBIaY5o1yOyexGIUc6,167,0,2014,Lights,Country & Folk
5hNiAUVPCTgcpy8vljCxzs,167,0,2014,Ellie Holcomb,Christian
7n2wHs1TKAczGzO7Dd2rGr,165,0,2014,Shawn Mendes,Pop
5eyMzR1hYiEZtN2c9ly2kw,165,0,2014,Matisyahu,Reggae
13y7CgLHjMVRMDqxdx0Xdo,164,0,2014,Gucci Mane,Hip Hop
3ImqpXKKgkH5VydfgX1hd4,164,0,2014,Say Anything,Rock
7A9yZMTrFZcgEWAX2kBfK6,164,0,2014,Huey Lewis & The News,Rock
6urkHDoIVO1WO8vNIwcJmM,164,0,2014,Die Antwoord,Rock
47bGK00zHXcGlUWfrE0dvi,162,0,2014,Rx Bandits,Rock
7xklw3WodFZiNNmQt3DIgp,162,0,2014,Angels & Airwaves,Rock
7tYKF4w9nC0nq9CsPZTHyP,162,0,2014,SZA,Hip Hop
1bPBx2qbpWzEoLujeHC3G7,162,0,2014,Upon A Burning Body,Rock
6aaMZ3fcfLv4tEbmY7bjRM,161,0,2014,Isaiah Rashad,Hip Hop
1DgmdsnwOexqTH8ohPCFAU,161,0,2014,Volumes,Rock
5R3Hr2cnCCjt220Jmt2xLf,161,0,2014,Dillon Francis,Electronic
0T1KC0OHfbRO0O5bNH2tek,160,0,2014,John Mark McMillan,Pop
56OMwqr8qaLIRH4ZrvvdXq,160,0,2014,Dilated Peoples,Hip Hop
2ndyVAdV9UqF1XjyTJt484,160,0,2014,Fred Hammond,Christian
34pi7XANRzTkJ78RuTOLwa,158,0,2014,Dark Lotus,Hip Hop
6hk7Yq1DU9QcCCrz9uc0Ti,158,0,2014,Kimbra,Rock
0gOMnWbGP52F3paKcp5Ts2,157,0,2014,Christon Gray,Christian
2C2sVVXanbOpymYBMpsi89,157,0,2014,The Cab,Rock
3FD9VAd0ppjmKbfxF4LzUh,157,0,2014,Danity Kane,Pop
4D9k73VomKTnVQ6ROnt8IO,157,0,2014,Disciple,Christian
3hozsZ9hqNq7CoBGYNlFTz,157,0,2014,OK Go,Rock
1q13yHC6Syg5Y8iPLrRnCq,156,0,2014,Joell Ortiz,Hip Hop
1wgY8huggK60P5nvYrwcYT,156,0,2014,Asher Roth,Hip Hop
6RIRplpyp79REfeBrvW8rH,156,0,2014,Light The Torch,Rock
21LGsW7bziR4Ledx7WZ1Wf,156,0,2014,Johnny Mathis,Jazz
7lQKE6HaKQcCsgLRMhsh5W,156,0,2014,La Dispute,Rock
2QoU3awHVdcHS8LrZEKvSM,155,0,2014,Wilco,Country & Folk
0qqxspZOkbN00bu6DaRIrn,154,0,2014,Four Year Strong,Rock
6d47Z08T4snK50HgTEHo5Z,154,0,2014,Sage The Gemini,Pop
3OftZbLfcqulxWNZMX8zLI,154,0,2014,Wade Bowen,Country & Folk
0z5DFXmhT4ZNzWElsM7V89,153,0,2014,Erasure,Pop
7h4j9YTJJuAHzLCc3KCvYu,153,0,2014,Kina Grannis,Pop
3KEixcRfBS5K3E91Vn1Kdy,152,0,2014,Iced Earth,Rock
2TI7qyDE0QfyOlnbtfDo7L,152,0,2014,Dave Matthews Band,Rock
7mQilAy42MqNPqUFqK4Z0o,152,0,2014,Umphrey's McGee,Rock
0tLaqkKW7K6tc3QF9SM0M8,152,0,2014,Tigers Jaw,Rock
1OVyBGCKn7vObVIVPXcmLa,152,0,2014,Otherwise,Rock
0OgdRTPItr9dw4XYp4JJUx,152,0,2014,Fit For A King,Christian
0kD8IT1CzF7js2XKM9lLLa,152,0,2014,STARSET,Rock
3E6xrwgnVfYCrCs0ePERDz,151,0,2014,Wisin,Pop
7HWFXU9pHBj0u58yoRwwOJ,151,0,2014,The Menzingers,Rock
7c0XG5cIJTrrAgEC3ULPiq,150,0,2014,Ty Dolla $ign,Hip Hop
7nCgNmfYJcsVy3vOOzExYS,149,0,2014,The Contortionist,Rock
6YXarbjg36ODFPez0PnOlD,148,0,2014,At The Gates,Rock
4rMxZovfLSDjEL9eI2pKo7,148,0,2014,Slaves,Rock
4Uv5bceTJ2h3tLlssUNDNP,147,0,2014,Attila,Rock
6YvKo1VtZxCoT8IkbAYswy,147,0,2014,Patton Oswalt,Other
59CIPNdUfewexxn1CJEdp5,147,0,2014,Fozzy,Rock
4ddt8PPvmWrI9mJQy1VrIG,146,0,2014,Band Of Skulls,Electronic
78ZdtwvDD5zTElro6EGkcU,146,0,2014,Swoope,Christian
34UhPkLbtFKRq3nmfFgejG,146,0,2014,Mogwai,Rock
7wGizTRCLYwsLnTuCBbJ6t,146,0,2014,Propaganda,Christian
7oHzn7edwmrYClrPRINkbn,145,0,2014,Johnny Gill,R&B & Funk
1SAugjIcuwNPKS4urSB7A6,145,0,2014,Joe Budden,Hip Hop
6VDdCwrBM4qQaGxoAyxyJC,145,0,2014,Cold War Kids,Pop
3znXuXT3xkCtjgOxXBBVnq,145,0,2014,Justin Townes Earle,Country & Folk
5eKLa1xyHLq8ERWmT1CRHj,145,0,2014,The Crystal Method,Electronic
3hYtANQYrE6pd2PbtEyTIy,144,0,2014,Los Tigres Del Norte,Latin
