year,is_billboard,avg_danceability,avg_energy,avg_valence,avg_tempo,avg_speechiness,avg_acousticness,avg_loudness,avg_duration_min,explicit_percentage,total_songs
2014,0,0.5905833,0.561113526,0.51927934,121.5780091,0.07154118,0.311630691,-9.8012015,3.71803478,5.0141,66892
2014,1,0.6006662,0.625776261,0.58668828,121.7302626,0.05927671,0.276889512,-8.3986142,3.62597443,5.9347,674
2015,0,0.598871,0.553674831,0.50879328,120.6652262,0.08059017,0.313790967,-10.4288768,3.72954965,8.7647,61554
2015,1,0.6106264,0.618292307,0.55742949,121.4806392,0.07211136,0.247768407,-8.2208278,3.72310955,14.8352,546
2016,0,0.5854425,0.524361227,0.47981706,119.9326621,0.08009473,0.376213465,-10.9858948,3.75961929,6.8333,49098
2016,1,0.5955505,0.6024499,0.52491505,122.5661267,0.0875802,0.289333978,-8.3137802,3.67523525,20.396,505
2017,0,0.5931472,0.550506001,0.46868867,120.3853915,0.08355691,0.350448254,-10.0942369,3.7426167,8.3845,46121
2017,1,0.6292085,0.608289189,0.53946815,119.6033764,0.10159517,0.249973295,-7.8460656,3.51209263,24.3243,518
2018,0,0.6142313,0.54397356,0.46346182,120.7849552,0.07291767,0.320973192,-10.5843876,3.93529921,6.4029,72748
2018,1,0.6422547,0.605748575,0.52871013,120.6724098,0.10731392,0.268122915,-7.9418734,3.50191247,33.5443,632
2019,0,0.5970858,0.544274076,0.49260252,120.1396498,0.08616157,0.355965063,-10.1833878,3.58992088,9.0293,31730
2019,1,0.6123482,0.605569761,0.63751577,121.1809881,0.06709673,0.295492533,-9.188869,3.5529062,6.25,336
