song_id,year_end_score,is_pop,year,artist_id,song_name,artist_name,parent_genre
61EWvc5vPvrj1Ir9aeVHEK,46,0,2010,7qAcXJgt1PWnxwUgxMdyuk,Maybe,Sick Puppies,Rock
5sra5UY6sD658OabHL3QtI,46,0,2010,3DiDSECUqqY1AuBP8qtaIa,Empire State of Mind (Part II) Broken Down,Alicia Keys,Pop
6JMu5Aou3halbknIpdWrLt,45,0,2010,0hCNtLu0JehylgoiP8L4Gh,Roman's Revenge,Nicki Minaj,Pop
0PWgAyoxsjwGRuFSO0fyya,45,0,2010,06HL4z0CvFAxyc27GXpf02,Better Than Revenge,Taylor Swift,Pop
07DXC9tg5mySIQfRoVHYmI,45,0,2010,0SCbttzoZTnLFebDYmAWCm,Me Against The Music (Glee Cast Version),Glee Cast,Other
1Zrt3eIobdcn7fJ0i1kjzW,44,0,2010,0SCbttzoZTnLFebDYmAWCm,"Baby, It's Cold Outside (Glee Cast Version) (feat. Darren Criss)",Glee Cast,Other
47Dey0jXZv5PdGmCGR1jYa,44,0,2010,2IgfvpRnRRvieMOYwvI7Rr,Up To The Mountain,Crystal Bowersox,Pop
3q3pZHncNkvIWJebMeuQqQ,44,0,2010,533HtQP5btWIZcKlHJtEWK,Hero,Christopher Wilde,Pop
7s0YfJE6hNNYq9BV26iCw6,43,0,2010,6jJ0s89eD6GaHleKKya26X,Circle The Drain,Katy Perry,Pop
7cHROTw8JRjEaO3hDf1GZN,43,0,2010,0SCbttzoZTnLFebDYmAWCm,Any Way You Want It / Lovin' Touchin' Squeezin' (Glee Cast Version),Glee Cast,Other
7yNK27ZTpHew0c55VvIJgm,41,0,2010,5K4W6rqBFWDnAN6FQUkS6x,Dark Fantasy,Kanye West,Hip Hop
0mKR21gUonhfqYnIHyNXjA,41,0,2010,55Aa2cqylxrFIXC767Z865,On Fire,Lil Wayne,Hip Hop
1fyi6l2eXf40N01Vn9FIlw,41,0,2010,0SCbttzoZTnLFebDYmAWCm,Losing My Religion (Glee Cast Version),Glee Cast,Other
0eMBT8pajtxCOmQYSVpcxE,40,0,2010,6W1BHDF0T4a4KYcSwzD586,Hallelujah - Vancouver Winter 2010 Version,k.d. lang,Country & Folk
2b1f2Z5rpQUYKOyrOd770k,40,0,2010,0SCbttzoZTnLFebDYmAWCm,Beautiful (Glee Cast Version),Glee Cast,Other
7kNlRLC9PEH8nXMVawssMx,39,0,2010,1KCSPY1glIKqW2TotWuXOR,Won't Back Down,P!nk,Pop
2U0tVw78WKa3Xd9NhBEwMF,38,0,2010,55Aa2cqylxrFIXC767Z865,Fire Flame,Lil Wayne,Hip Hop
2YjKcFQ1vYFhQPgsmCOjss,38,0,2010,06HL4z0CvFAxyc27GXpf02,Haunted,Taylor Swift,Pop
2371M3KFIjpbHnVmh4dw85,37,0,2010,7o95ZoZt5ZYn31e9z1Hc0a,Strip Me,Natasha Bedingfield,Pop
6SKwQghsR8AISlxhcwyA9R,37,0,2010,0du5cEVh5yTK9QJze8zA0C,Marry You,Bruno Mars,Pop
3nzv1IqPZfk7nPkmjTr7PE,36,0,2010,0SCbttzoZTnLFebDYmAWCm,Papa Can You Hear Me? (Glee Cast Version),Glee Cast,Other
6bdFbw9THAMceZtkPWXu8e,36,0,2010,55Aa2cqylxrFIXC767Z865,No Worries,Lil Wayne,Hip Hop
3uMigZrW9l9De8roOy6CAn,35,0,2010,2AOt5htsbtyaHd5Eq3kl3j,Fistful of Tears,Maxwell,Pop
45ahvujEO1bYK3zhw0xEqT,35,0,2010,1l7ZsJRRS8wlW3WfJfPfNS,Bionic,Christina Aguilera,Pop
7nkIQ02m4KItFfDfWrEApi,35,0,2010,4sbB4Yy6Qig51pKCIKSLw3,Ain't Leavin Without You,Jaheim,Pop
26rUU3JZ9JB9OkEuG9mb3e,34,0,2010,7dGJo4pcD2V6oG8kP0tJRR,Elevator,Eminem,Hip Hop
455AfCsOhhLPRc68sE01D8,34,0,2010,6jJ0s89eD6GaHleKKya26X,Last Friday Night (T.G.I.F.),Katy Perry,Pop
3myI1o0izYfh2z9JTQzCfJ,34,0,2010,5ndkK3dpZLKtBklKjxNQwT,Don't Let Me Fall,B.o.B,Hip Hop
1CkvWZme3pRgbzaxZnTl5X,33,0,2010,4dpARuHxo51G3z768sgnrY,Rolling in the Deep,Adele,Blues & Soul
1cVwYjlZ0xkMOINhlguz2y,32,0,2010,1W3FSF1BLpY3hlVIgvenLz,Love King,The-Dream,Pop
0yJpq0T48tKm6YPfSx2qnu,31,0,2010,4OBJLual30L7gRl5UkeRcT,Get Back Up (feat. Chris Brown),T.I.,Hip Hop
5cevLj53chcpTIZjezsj37,31,0,2010,0SCbttzoZTnLFebDYmAWCm,A House Is Not A Home (Glee Cast Version),Glee Cast,Other
4EUQXLipplO2v9mVaqQtjc,30,0,2010,06HL4z0CvFAxyc27GXpf02,Last Kiss,Taylor Swift,Pop
3Tj1luJyKPQt7WbrqpJ2Az,30,0,2010,7dGJo4pcD2V6oG8kP0tJRR,Cold Wind Blows,Eminem,Hip Hop
