year,genre,word,count
1965,Classical,come,2
1965,Classical,else,2
1965,Classical,die,1
1965,Classical,cried,1
1965,Classical,crawl,1
1965,Classical,clown,1
1965,Classical,care,1
1965,Classical,cant,1
1965,Classical,believe,1
1965,Classical,around,1
1965,Classical,done,1
1965,Classical,dont,1
1965,Classical,turned,1
1965,Classical,times,1
1965,Classical,talk,1
1965,Classical,stop,1
1965,Classical,still,1
1965,Classical,stare,1
1965,Classical,really,1
1965,Classical,people,1
1965,Country & Folk,les,183
1965,Country & Folk,pas,152
1965,Country & Folk,des,128
1965,Country & Folk,cest,108
1965,Country & Folk,dans,91
1965,Country & Folk,comme,69
1965,Country & Folk,jai,65
1965,Country & Folk,pour,64
1965,Country & Folk,que,62
1965,Country & Folk,mais,56
1965,Country & Folk,qui,48
1965,Country & Folk,mes,48
1965,Country & Folk,jsuis,46
1965,Country & Folk,mon,45
1965,Country & Folk,est,45
1965,Country & Folk,une,43
1965,Country & Folk,quand,39
1965,Country & Folk,couplet,36
1965,Country & Folk,tes,35
1965,Country & Folk,sur,29
1965,Country & Folk,faire,27
1965,Country & Folk,plus,24
1965,Country & Folk,tout,23
1965,Country & Folk,dont,23
1965,Country & Folk,avec,22
1965,Electronic,love,5
1965,Electronic,sing,2
1965,Electronic,together,2
1965,Electronic,trees,2
1965,Electronic,TRUE,2
1965,Electronic,look,2
1965,Electronic,birds,2
1965,Electronic,serene,1
1965,Electronic,vocals,1
1965,Electronic,thats,1
1965,Electronic,tap,1
1965,Electronic,take,1
1965,Electronic,symphony,1
1965,Electronic,swaying,1
1965,Electronic,sun,1
1965,Electronic,suddenly,1
1965,Electronic,stream,1
1965,Electronic,stand,1
1965,Electronic,sky,1
1965,Electronic,skelter,1
1965,Electronic,shelter,1
1965,Electronic,shadows,1
1965,Electronic,see,1
1965,Electronic,lovers,1
1965,Electronic,say,1
1965,Jazz,love,506
1965,Jazz,know,405
1965,Jazz,one,313
1965,Jazz,white,290
1965,Jazz,got,285
1965,Jazz,feat,281
1965,Jazz,back,220
1965,Jazz,dont,212
1965,Jazz,come,210
1965,Jazz,time,203
1965,Jazz,ill,199
1965,Jazz,pink,194
1965,Jazz,get,193
1965,Jazz,say,191
1965,Jazz,right,189
1965,Jazz,les,189
1965,Jazz,joe,186
1965,Jazz,see,176
1965,Jazz,would,170
1965,Jazz,little,166
1965,Jazz,never,166
1965,Jazz,day,163
1965,Jazz,well,162
1965,Jazz,man,151
1965,Jazz,eddie,151
1965,Other,mmm,66
1965,Other,time,39
1965,Other,come,35
1965,Other,last,31
1965,Other,name,24
1965,Other,know,22
1965,Other,dont,22
1965,Other,say,21
1965,Other,show,18
1965,Other,lets,17
1965,Other,let,15
1965,Other,tomorrow,14
1965,Other,drink,14
1965,Other,wait,13
1965,Other,said,13
1965,Other,well,12
1965,Other,downtown,11
1965,Other,forget,11
1965,Other,away,11
1965,Other,never,10
1965,Other,dad,10
1965,Other,fee,9
1965,Other,could,9
1965,Other,fanna,9
1965,Other,home,9
1965,Pop,love,507
1965,Pop,feat,373
1965,Pop,know,298
1965,Pop,one,295
1965,Pop,dont,222
1965,Pop,time,214
1965,Pop,come,205
1965,Pop,got,185
1965,Pop,man,177
1965,Pop,way,174
1965,Pop,see,173
1965,Pop,get,165
1965,Pop,say,159
1965,Pop,make,155
1965,Pop,john,152
1965,Pop,said,150
1965,Pop,well,145
1965,Pop,day,144
1965,Pop,would,142
1965,Pop,want,141
1965,Pop,dance,137
1965,Pop,never,134
1965,Pop,youre,134
1965,Pop,ill,132
1965,Pop,good,129
1965,R&B & Funk,got,72
1965,R&B & Funk,youre,68
1965,R&B & Funk,get,60
1965,R&B & Funk,dont,51
1965,R&B & Funk,brown,43
1965,R&B & Funk,good,40
1965,R&B & Funk,little,38
1965,R&B & Funk,back,35
1965,R&B & Funk,know,35
1965,R&B & Funk,n***as,32
1965,R&B & Funk,time,31
1965,R&B & Funk,fuck,28
1965,R&B & Funk,think,28
1965,R&B & Funk,take,27
1965,R&B & Funk,hes,27
1965,R&B & Funk,make,26
1965,R&B & Funk,see,26
1965,R&B & Funk,ill,26
1965,R&B & Funk,rock,25
1965,R&B & Funk,right,25
1965,R&B & Funk,one,24
1965,R&B & Funk,give,24
1965,R&B & Funk,way,24
1965,R&B & Funk,shit,24
1965,R&B & Funk,thing,24
1965,Rock,time,327
1965,Rock,one,147
1965,Rock,love,127
1965,Rock,know,118
1965,Rock,got,112
1965,Rock,get,109
1965,Rock,come,87
1965,Rock,present,82
1965,Rock,shuffle,81
1965,Rock,see,78
1965,Rock,day,77
1965,Rock,cant,75
1965,Rock,would,71
1965,Rock,man,71
1965,Rock,marlo,70
1965,Rock,want,67
1965,Rock,never,67
1965,Rock,may,66
1965,Rock,dont,64
1965,Rock,back,62
1965,Rock,make,61
1965,Rock,long,61
1965,Rock,duration,60
1965,Rock,two,58
1965,Rock,think,57
1965,Unknown,love,165
1965,Unknown,frasier,135
1965,Unknown,get,101
1965,Unknown,state,99
1965,Unknown,know,92
1965,Unknown,one,84
1965,Unknown,got,79
1965,Unknown,see,78
1965,Unknown,well,78
1965,Unknown,back,76
1965,Unknown,man,75
1965,Unknown,martin,72
1965,Unknown,said,67
1965,Unknown,come,63
1965,Unknown,thats,61
1965,Unknown,new,56
1965,Unknown,monica,56
1965,Unknown,say,55
1965,Unknown,let,54
1965,Unknown,niles,54
1965,Unknown,right,54
1965,Unknown,ross,54
1965,Unknown,want,54
1965,Unknown,chandler,53
1965,Unknown,joey,51
1966,Avant-Garde & Experimental,says,382
1966,Avant-Garde & Experimental,joe,121
1966,Avant-Garde & Experimental,one,115
1966,Avant-Garde & Experimental,citizen,87
1966,Avant-Garde & Experimental,would,82
1966,Avant-Garde & Experimental,old,71
1966,Avant-Garde & Experimental,bloody,69
1966,Avant-Garde & Experimental,bloom,62
1966,Avant-Garde & Experimental,alf,57
1966,Avant-Garde & Experimental,know,53
1966,Avant-Garde & Experimental,see,52
1966,Avant-Garde & Experimental,said,52
1966,Avant-Garde & Experimental,time,52
1966,Avant-Garde & Experimental,white,48
1966,Avant-Garde & Experimental,well,46
1966,Avant-Garde & Experimental,man,45
1966,Avant-Garde & Experimental,day,43
1966,Avant-Garde & Experimental,good,41
1966,Avant-Garde & Experimental,way,40
1966,Avant-Garde & Experimental,little,39
1966,Avant-Garde & Experimental,made,38
1966,Avant-Garde & Experimental,came,38
1966,Avant-Garde & Experimental,around,38
1966,Avant-Garde & Experimental,people,37
1966,Avant-Garde & Experimental,going,36
1966,Blues & Soul,peter,346
1966,Blues & Soul,get,278
1966,Blues & Soul,one,272
1966,Blues & Soul,love,271
1966,Blues & Soul,know,238
1966,Blues & Soul,got,218
1966,Blues & Soul,said,176
1966,Blues & Soul,time,176
1966,Blues & Soul,good,173
1966,Blues & Soul,come,161
1966,Blues & Soul,think,155
1966,Blues & Soul,right,153
1966,Blues & Soul,michael,152
1966,Blues & Soul,want,150
1966,Blues & Soul,people,148
1966,Blues & Soul,thats,146
1966,Blues & Soul,see,137
1966,Blues & Soul,make,134
1966,Blues & Soul,take,134
1966,Blues & Soul,dont,128
1966,Blues & Soul,say,128
1966,Blues & Soul,well,127
1966,Blues & Soul,man,126
1966,Blues & Soul,way,125
1966,Blues & Soul,little,124
1966,Christian,cant,27
1966,Christian,love,19
1966,Christian,away,17
1966,Christian,used,17
1966,Christian,make,15
1966,Christian,dont,14
1966,Christian,two,13
1966,Christian,uncle,13
1966,Christian,world,13
1966,Christian,died,13
1966,Christian,lonely,13
1966,Christian,get,13
1966,Christian,well,11
1966,Christian,chicken,10
1966,Christian,truck,10
1966,Christian,mind,10
