album_id,album_name,popularity,total_tracks,album_type,artist_id
01PdY56gjmpkaIbeOCk52Q,Electric Mile,25,13,album,74fkl73HDlCXw0l6cemB89
01q63y4Ys3N3qMK4voo8iZ,She Even Woke Me Up To Say Goodbye,32,11,album,2zyz0VJqrDXeFDIyrfVXSo
01QPn4ax1Q0O7qHtVTaqGG,Two-Faced Charade,49,12,album,3rxPTMtxVQKNAbBBl6cQrw
01qXdO0cJRQRDP6hsk21sv,Evolution Of A Man,39,14,album,6k0IBR0lU42s2GYpNX7kA9
01riz9JMpPdL99fYhoZaph,Where I Wanna Be,64,13,album,5KNqYrivNgVCHBssEUSu5B
01RJdKvXyz515O37itqMIJ,More Songs About Buildings And Food,57,15,album,2x9SpqnPi8rlE9pjHBwmSC
01sfgrNbnnPUEyz6GZYlt9,Dua Lipa,84,17,album,6M2wZ9GZgrQXHCFfjv46we
01ufkmZ5R6UvEqKWfuNotw,Escape The Fate,64,11,album,5ojhEavq6altxW8fWIlLum
01uTaEF0YlcBgNwaSS9iIl,Wild Honey,51,11,album,3oDbviiivRWhXwIE8hxkVV
01vhmlMrqA4gugV8t0zP0H,Later That Same Year,34,11,album,7aLNBjOlzOCyuFmytbbeYM
01WEcEzoa9mfh8fIDhvV1M,Lightning Bolt,63,12,album,1w5Kfo2jwwIPruYS2UWh56
01wn5MrXTUWjdYTLYC2wqU,"The Chronicles Of Narnia: The Lion, The Witch And The Wardrobe",56,17,compilation,1BxqJ6pOCi8mkSjCbFYjpW
01xiIydpf1MyOg7DWDRF2N,Natural High,57,8,album,6twIAGnYuIT1pncMAsXnEm
01XJS15vduKMEJzf6LC5bn,Love Story,12,12,album,2lolQgalUvZDfp5vvVtTYV
01y45cfUFDOw8lnGBZXVxz,In The Name Of Love,21,11,album,602DnpaSXJB4b9DZrvxbDc
01YePeV7ZkKulDlnC6duNW,Showstoppers,16,18,album,3alW3LYQS8K29z8C8NSLIX
01yg4gm9pFOJbwQKj46ZYK,Here We Go Again,56,14,album,6S2OmqARrzebs0tKUEyXyp
01Z1nufhjxJVXVDuMRmNEM,Live at Reading,57,24,album,6olE6TJLqED3rqDCT0FyPh
01zBzCUKOSp46IcTPqqlOS,Style,0,2,single,7ihHolAdjjtkPQNBV3dwwX
01ZFqtIOub99VS2BLYCoqe,Away From The World,37,11,album,2TI7qyDE0QfyOlnbtfDo7L
01zg1Y9Eh7ndtmr5YgvJxZ,Some Rainy Morning,14,11,album,6cAtGdArQhrU7tTBoeWY3P
01zjyTAHZJVph14y7s2yqb,Spirit Of '76,0,1,single,0LmaFqwt3p7WhpWmVFVOi8
01zrTZowtMtqYutWzzDgds,Us And The Night,56,11,album,2RTUTCvo6onsAnheUk3aL9
