year,main_genre,total_score
1970,"Reggae",609
1970,"Classical",460
1971,"Blues & Soul",58981
1971,"Pop",45928
1971,"Rock",39219
1971,"Jazz",37025
1971,"Unknown",29276
1971,"Country & Folk",21642
1971,"R&B & Funk",9313
1971,"Other",7061
1971,"Christian",3879
1971,"Electronic",2888
1971,"Avant-Garde & Experimental",1539
1971,"Latin",1212
1971,"Classical",579
1972,"Blues & Soul",67002
1972,"Rock",56358
1972,"Pop",45333
1972,"Jazz",40651
1972,"Unknown",21480
1972,"Country & Folk",15167
1972,"R&B & Funk",11657
1972,"Avant-Garde & Experimental",7479
1972,"Electronic",4787
1972,"Other",4006
1972,"Christian",2486
1972,"Children's",1378
1972,"Classical",1316
1973,"Rock",65671
1973,"Blues & Soul",60832
1973,"Jazz",52559
1973,"Pop",33966
1973,"Unknown",21057
1973,"R&B & Funk",17920
1973,"Country & Folk",17680
1973,"Other",13624
1973,"Electronic",4507
1973,"Christian",3622
1973,"Avant-Garde & Experimental",1708
1973,"Hip Hop",726
1973,"Children's",663
1974,"Rock",64006
1974,"Blues & Soul",57084
1974,"Pop",48699
1974,"Jazz",46178
1974,"Country & Folk",25140
1974,"Unknown",19812
1974,"Electronic",19168
1974,"Other",15769
1974,"R&B & Funk",14283
1974,"Avant-Garde & Experimental",2107
1974,"Latin",1367
1974,"Christian",640
1974,"Children's",553
1975,"Rock",59918
1975,"Jazz",55049
1975,"Blues & Soul",43078
1975,"Pop",33184
1975,"Electronic",27322
1975,"Unknown",22698
1975,"Country & Folk",22444
1975,"Other",10900
1975,"Christian",6269
1975,"R&B & Funk",4753
1975,"Children's",1492
1975,"Avant-Garde & Experimental",162
1975,"Latin",11
1976,"Rock",87250
1976,"Jazz",56838
1976,"Blues & Soul",36280
1976,"Pop",34369
1976,"Electronic",34003
1976,"Unknown",16691
1976,"Country & Folk",13496
1976,"Other",12471
1976,"R&B & Funk",7739
1976,"Christian",1980
1976,"Latin",1550
1976,"Reggae",287
1976,"Avant-Garde & Experimental",9
1977,"Rock",96917
1977,"Jazz",67376
1977,"Pop",36171
1977,"Blues & Soul",32474
1977,"Electronic",25710
1977,"Unknown",23749
1977,"Country & Folk",18414
1977,"Other",14244
1977,"R&B & Funk",8266
1977,"Classical",3382
1977,"Latin",879
1977,"Children's",831
1977,"Christian",198
1977,"Avant-Garde & Experimental",124
1978,"Rock",118418
1978,"Jazz",57767
1978,"Electronic",42429
1978,"Unknown",32906
1978,"Pop",25586
1978,"Blues & Soul",14726
1978,"Country & Folk",12941
1978,"Other",10594
1978,"R&B & Funk",7048
1978,"Avant-Garde & Experimental",3237
1978,"Metal",1683
1978,"Latin",311
1978,"Classical",122
1978,"Christian",83
1979,"Rock",111168
1979,"Electronic",51212
1979,"Pop",47251
1979,"Jazz",45611
1979,"Unknown",28008
1979,"Blues & Soul",13847
1979,"Country & Folk",13793
1979,"R&B & Funk",3960
1979,"Other",3127
1979,"Avant-Garde & Experimental",1769
1979,"Children's",1069
1979,"Metal",648
1979,"Hip Hop",379
1979,"Reggae",353
1979,"Classical",38
1980,"Rock",105458
1980,"Jazz",73669
1980,"Pop",36597
1980,"Blues & Soul",25223
1980,"Electronic",21332
1980,"Country & Folk",20096
1980,"Unknown",15097
1980,"Other",7443
1980,"R&B & Funk",5283
1980,"Avant-Garde & Experimental",3565
1980,"Classical",2557
1980,"Children's",524
1980,"Hip Hop",301
1980,"Christian",129
1981,"Rock",130898
1981,"Jazz",62479
1981,"Country & Folk",34242
1981,"Unknown",24041
1981,"Pop",23849
1981,"Electronic",20167
1981,"Blues & Soul",19811
1981,"Other",17105
1981,"R&B & Funk",4784
1981,"Children's",1569
1981,"Avant-Garde & Experimental",1267
1981,"Classical",1146
1981,"Hip Hop",935
1982,"Rock",147389
1982,"Jazz",53974
1982,"Electronic",31935
1982,"Unknown",28880
1982,"Country & Folk",23508
1982,"Pop",17053
1982,"Other",11242
1982,"Blues & Soul",9641
1982,"R&B & Funk",5825
1982,"Avant-Garde & Experimental",5535
1982,"Hip Hop",749
1982,"Reggae",477
1983,"Rock",157842
1983,"Electronic",59578
1983,"Jazz",42463
1983,"Pop",29169
1983,"Unknown",22890
1983,"Avant-Garde & Experimental",12667
1983,"Other",10095
1983,"Country & Folk",7514
1983,"R&B & Funk",6035
1983,"Blues & Soul",4306
1983,"Reggae",1852
1983,"Children's",87
1984,"Rock",141112
1984,"Electronic",69731
1984,"Pop",51017
1984,"Jazz",33991
1984,"Unknown",16046
1984,"R&B & Funk",9798
1984,"Other",8735
1984,"Avant-Garde & Experimental",7134
1984,"Blues & Soul",4189
1984,"Children's",3141
1984,"Country & Folk",2718
1984,"Metal",1758
1984,"Latin",1252
1984,"Reggae",1195
1985,"Rock",133240
1985,"Electronic",66696
1985,"Pop",55882
1985,"Unknown",21052
1985,"Jazz",19614
1985,"R&B & Funk",15840
1985,"Blues & Soul",13687
1985,"Avant-Garde & Experimental",12185
1985,"Other",9996
1985,"Metal",2575
1985,"Christian",1352
1985,"Children's",1208
1985,"Country & Folk",1080
1985,"Reggae",915
1985,"Latin",451
1985,"Hip Hop",184
1986,"Rock",132975
1986,"Pop",49028
1986,"Electronic",46255
1986,"Unknown",34798
1986,"Avant-Garde & Experimental",21207
1986,"Jazz",16629
1986,"R&B & Funk",16502
1986,"Blues & Soul",12361
1986,"Other",6658
1986,"Children's",2905
1986,"Metal",2516
1986,"Hip Hop",2043
1986,"Country & Folk",1083
1987,"Rock",137117
1987,"Electronic",53852
1987,"Pop",50180
1987,"Unknown",21640
1987,"Jazz",21168
1987,"R&B & Funk",17674
1987,"Blues & Soul",11858
1987,"Avant-Garde & Experimental",9573
1987,"Metal",6087
1987,"Other",5062
1987,"Hip Hop",4109
1987,"Country & Folk",3660
1987,"Christian",1347
1987,"Children's",787
1988,"Rock",119966
1988,"Pop",68501
1988,"Electronic",66434
1988,"Jazz",25467
1988,"Unknown",24014
1988,"R&B & Funk",16599
1988,"Other",13084
1988,"Hip Hop",8351
1988,"Avant-Garde & Experimental",5526
1988,"Metal",4209
1988,"Reggae",3710
1988,"Country & Folk",3151
1988,"Children's",2199
1988,"Blues & Soul",1841
1988,"Latin",97
1988,"Christian",12
1989,"Rock",105923
1989,"Pop",75767
1989,"Electronic",51779
1989,"Unknown",27093
1989,"R&B & Funk",19857
1989,"Other",16334
1989,"Jazz",15233
1989,"Metal",13894
1989,"Blues & Soul",9028
1989,"Hip Hop",6197
1989,"Avant-Garde & Experimental",4035
1989,"Country & Folk",3808
1989,"Children's",1598
1989,"Reggae",1398
1990,"Rock",88100
1990,"Pop",71893
1990,"Electronic",60621
1990,"Unknown",25946
1990,"R&B & Funk",25931
1990,"Jazz",17285
1990,"Other",16924
1990,"Hip Hop",14920
1990,"Metal",13004
1990,"Blues & Soul",7301
1990,"Avant-Garde & Experimental",4460
1990,"Reggae",4303
1990,"Country & Folk",2547
1990,"Children's",1624
1990,"Latin",348
1991,"Rock",87469
1991,"Pop",82476
1991,"Electronic",40815
1991,"Unknown",37562
1991,"R&B & Funk",28624
1991,"Hip Hop",20917
1991,"Jazz",17082
1991,"Other",9609
1991,"Metal",8312
1991,"Christian",7560
1991,"Reggae",4504
1991,"Blues & Soul",4012
1991,"Children's",1320
1991,"Avant-Garde & Experimental",1167
1991,"Latin",31
1992,"Rock",85276
1992,"Pop",76197
1992,"Electronic",43256
1992,"Hip Hop",40309
1992,"Unknown",27942
1992,"R&B & Funk",22809
1992,"Other",11023
1992,"Jazz",10038
1992,"Country & Folk",9318
1992,"Christian",6329
1992,"Metal",5315
1992,"Blues & Soul",5307
1992,"Reggae",1231
1992,"Avant-Garde & Experimental",979
1992,"Children's",545
1993,"Pop",82594
1993,"Rock",50488
1993,"Hip Hop",47324
1993,"Electronic",41340
1993,"Unknown",27361
1993,"Other",18433
1993,"R&B & Funk",16183
1993,"Jazz",14687
1993,"Reggae",9889
1993,"Country & Folk",9663
1993,"Metal",7544
1993,"Blues & Soul",2866
1993,"Classical",1916
1993,"Latin",804
1993,"Christian",647
1993,"Avant-Garde & Experimental",13
1994,"Pop",93084
1994,"Rock",55804
1994,"Hip Hop",45443
1994,"Electronic",39222
1994,"Unknown",28796
1994,"Country & Folk",15676
1994,"Other",10391
1994,"Metal",9904
1994,"R&B & Funk",9364
1994,"Jazz",8796
1994,"Reggae",5728
1994,"Blues & Soul",3612
1994,"Children's",2760
1994,"Christian",1716
1994,"Avant-Garde & Experimental",450
1995,"Pop",86675
1995,"Hip Hop",55192
1995,"Rock",51557
1995,"Electronic",37037
1995,"Unknown",26213
1995,"Other",17798
1995,"R&B & Funk",11279
1995,"Country & Folk",10958
1995,"Blues & Soul",8945
1995,"Metal",8811
1995,"Jazz",3705
1995,"Reggae",1839
1995,"Christian",1338
1995,"Avant-Garde & Experimental",1257
1995,"Latin",822
1996,"Pop",70346
1996,"Hip Hop",51172
1996,"Rock",41472
1996,"Unknown",38197
1996,"Electronic",32052
1996,"Other",19618
1996,"Country & Folk",18610
1996,"R&B & Funk",16869
1996,"Metal",11454
1996,"Blues & Soul",6281
1996,"Reggae",2446
1996,"Jazz",1950
1996,"Christian",1887
1996,"Latin",945
1996,"Avant-Garde & Experimental",613
1997,"Pop",105238
1997,"Hip Hop",46335
1997,"Unknown",33840
1997,"Rock",31614
1997,"Electronic",27127
1997,"Other",20199
1997,"R&B & Funk",18283
1997,"Country & Folk",9894
1997,"Blues & Soul",9792
1997,"Avant-Garde & Experimental",8371
1997,"Jazz",7620
1997,"Metal",2428
1997,"Reggae",1493
1997,"Christian",1144
1997,"Classical",111
1998,"Pop",123269
1998,"Hip Hop",57690
1998,"Unknown",40087
1998,"Rock",37175
1998,"Country & Folk",36726
1998,"Electronic",20484
1998,"Other",16749
1998,"Avant-Garde & Experimental",9576
1998,"R&B & Funk",8031
1998,"Blues & Soul",3170
1998,"Metal",2241
1998,"Children's",1853
1998,"Jazz",1452
1998,"Reggae",837
1998,"Christian",379
1998,"Latin",24
1999,"Pop",126579
1999,"Country & Folk",69325
1999,"Rock",46612
1999,"Hip Hop",39942
1999,"Unknown",32551
1999,"Other",15296
1999,"Metal",14160
1999,"R&B & Funk",9615
1999,"Electronic",6168
1999,"Latin",3292
1999,"Christian",426
1999,"Children's",357
1999,"Blues & Soul",293
1999,"Avant-Garde & Experimental",22
1999,"Jazz",12
2000,"Pop",135614
2000,"Country & Folk",65715
2000,"Hip Hop",32496
2000,"Metal",27091
2000,"R&B & Funk",24139
2000,"Rock",20683
2000,"Unknown",20290
2000,"Other",19935
2000,"Latin",7956
2000,"Blues & Soul",6583
2000,"Electronic",5182
2000,"Christian",4162
2000,"Jazz",1622
2000,"Reggae",1419
2000,"Children's",1158
2001,"Pop",125939
2001,"Country & Folk",68856
2001,"Hip Hop",36121
2001,"Metal",32107
2001,"Other",24832
2001,"Unknown",22494
2001,"Rock",20252
2001,"R&B & Funk",14465
2001,"Blues & Soul",8760
2001,"Electronic",5102
2001,"Latin",4789
2001,"Reggae",4757
2001,"Avant-Garde & Experimental",770
2001,"Jazz",728
2001,"Christian",125
2001,"Classical",36
2002,"Pop",124174
2002,"Country & Folk",57337
2002,"Hip Hop",47622
2002,"Metal",36299
2002,"Unknown",23315
2002,"Other",20985
2002,"Rock",16864
2002,"R&B & Funk",15702
2002,"Electronic",8817
2002,"Blues & Soul",5631
2002,"Avant-Garde & Experimental",1194
2002,"Latin",1036
2003,"Pop",106718
2003,"Hip Hop",63849
2003,"Country & Folk",59370
2003,"Metal",36685
2003,"R&B & Funk",24458
2003,"Unknown",21333
2003,"Other",19357
2003,"Rock",10828
2003,"Blues & Soul",7597
2003,"Electronic",4233
2003,"Avant-Garde & Experimental",2296
2003,"Classical",1312
2003,"Christian",367
2004,"Pop",102480
2004,"Hip Hop",93942
2004,"Country & Folk",53575
2004,"Metal",37376
2004,"Unknown",25561
2004,"Other",14144
2004,"R&B & Funk",12392
2004,"Rock",11515
2004,"Blues & Soul",6049
2004,"Electronic",4583
2004,"Christian",3654
2004,"Latin",3137
2004,"Children's",1437
2004,"Avant-Garde & Experimental",632
2004,"Classical",25
2005,"Pop",125170
2005,"Hip Hop",81859
2005,"Country & Folk",48660
2005,"Rock",37527
2005,"Other",21106
2005,"Metal",17341
2005,"Unknown",16769
2005,"R&B & Funk",12684
2005,"Latin",4381
2005,"Avant-Garde & Experimental",1891
2005,"Electronic",1336
2005,"Christian",1063
2005,"Blues & Soul",1030
2005,"Classical",930
2005,"Jazz",546
2005,"Reggae",483
2006,"Pop",125247
2006,"Hip Hop",65636
2006,"Country & Folk",51302
2006,"Rock",40690
2006,"Other",23547
2006,"Metal",22815
2006,"Unknown",16917
2006,"R&B & Funk",12494
2006,"Latin",3679
2006,"Electronic",2833
2006,"Blues & Soul",1899
2006,"Christian",1466
2006,"Reggae",1254
2006,"Classical",941
2006,"Jazz",886
2006,"Avant-Garde & Experimental",420
2006,"Children's",102
2007,"Pop",143363
2007,"Hip Hop",58283
2007,"Country & Folk",47239
2007,"Metal",32750
2007,"Rock",27996
2007,"Other",25217
2007,"Unknown",13131
2007,"R&B & Funk",8887
2007,"Electronic",4382
2007,"Latin",3759
2007,"Children's",3000
2007,"Blues & Soul",2672
2007,"Avant-Garde & Experimental",2075
2007,"Jazz",1309
2007,"Classical",933
2008,"Pop",167845
2008,"Hip Hop",46453
2008,"Country & Folk",44964
2008,"Other",31512
2008,"Unknown",26373
2008,"Metal",22849
2008,"Rock",12977
2008,"R&B & Funk",6408
2008,"Electronic",5691
2008,"Avant-Garde & Experimental",2694
2008,"Blues & Soul",2562
2008,"Reggae",1250
2008,"Classical",554
2008,"Christian",339
2008,"Latin",119
2008,"Children's",102
2008,"Jazz",4
2009,"Pop",158854
2009,"Hip Hop",53248
2009,"Country & Folk",52090
2009,"Rock",27082
2009,"Other",27053
2009,"Unknown",21015
2009,"Metal",18175
2009,"R&B & Funk",7311
2009,"Electronic",4256
2009,"Jazz",533
2009,"Blues & Soul",256
2009,"Latin",236
2009,"Reggae",159
2009,"Christian",6
2010,"Pop",155426
2010,"Hip Hop",59326
2010,"Country & Folk",57249
2010,"Other",41915
2010,"Unknown",21580
2010,"R&B & Funk",12593
2010,"Rock",9750
2010,"Metal",7249
2010,"Electronic",3477
2010,"Avant-Garde & Experimental",3391
2010,"Jazz",3373
2010,"Blues & Soul",788
2010,"Reggae",98
2010,"Christian",19
2011,"Pop",127880
2011,"Country & Folk",65710
2011,"Hip Hop",27763
2011,"Unknown",12520
2011,"Rock",10488
2011,"Blues & Soul",9037
2011,"Metal",4503
2011,"R&B & Funk",3610
2011,"Other",2810
2011,"Avant-Garde & Experimental",1414
2011,"Classical",1081
2011,"Christian",444
2011,"Electronic",246
2011,"Latin",8
2011,"Jazz",7
2012,"Pop",131075
2012,"Country & Folk",63746
2012,"Hip Hop",20152
2012,"Rock",10764
2012,"Blues & Soul",9653
2012,"R&B & Funk",9466
2012,"Unknown",2463
2012,"Electronic",2349
2012,"Metal",2286
2012,"Other",1542
2012,"Latin",265
2012,"Classical",81
2013,"Pop",118545
2013,"Country & Folk",59277
2013,"Rock",22132
2013,"Hip Hop",20305
2013,"Electronic",9448
2013,"R&B & Funk",3770
2013,"Avant-Garde & Experimental",3126
2013,"Unknown",3051
2013,"Other",1317
2013,"Latin",593
2013,"Metal",350
2013,"Christian",52
2013,"Jazz",7
2014,"Pop",107268
2014,"Country & Folk",61167
2014,"Rock",23136
2014,"Electronic",19075
2014,"R&B & Funk",15389
2014,"Hip Hop",13817
2014,"Unknown",9715
2014,"Avant-Garde & Experimental",6605
2014,"Latin",1688
2014,"Other",1650
2014,"Metal",550
2014,"Christian",262
2014,"Jazz",172
2015,"Pop",122503
2015,"Country & Folk",59949
2015,"Hip Hop",30303
2015,"R&B & Funk",14324
2015,"Rock",11915
2015,"Electronic",6890
2015,"Unknown",1715
2015,"Classical",1045
2015,"Blues & Soul",1037
2015,"Other",258
2015,"Latin",234
2015,"Avant-Garde & Experimental",225
2015,"Jazz",100
2015,"Metal",67
2016,"Pop",102610
2016,"Hip Hop",48618
2016,"Country & Folk",45438
2016,"Rock",20595
2016,"R&B & Funk",18283
2016,"Blues & Soul",6758
2016,"Electronic",4747
2016,"Children's",3761
2016,"Other",3332
2016,"Unknown",1401
2016,"Metal",1196
2016,"Latin",714
2016,"Jazz",480
2016,"Classical",116
2017,"Pop",96678
2017,"Hip Hop",62986
2017,"Country & Folk",40227
2017,"Rock",11483
2017,"Electronic",10148
2017,"R&B & Funk",8748
2017,"Children's",2850
2017,"Other",1551
2017,"Blues & Soul",1543
2017,"Latin",1399
2017,"Jazz",889
2017,"Avant-Garde & Experimental",724
2017,"Unknown",419
2017,"Metal",261
2018,"Pop",97540
2018,"Hip Hop",82448
2018,"Country & Folk",43636
2018,"Electronic",11646
2018,"Rock",9669
2018,"R&B & Funk",4977
2018,"Latin",2891
2018,"Jazz",2731
2018,"Christian",1514
2018,"Metal",1016
2018,"Unknown",163
2018,"Other",123
