year,genre,word,count
1964,Reggae,marry,2
1964,Reggae,toy,2
1964,Rock,bond,469
1964,Rock,bloom,434
1964,Rock,one,419
1964,Rock,laurie,310
1964,Rock,night,304
1964,Rock,see,285
1964,Rock,day,274
1964,Rock,rorschach,274
1964,Rock,back,269
1964,Rock,know,256
1964,Rock,dreiberg,250
1964,Rock,love,248
1964,Rock,int,232
1964,Rock,ordinance,225
1964,Rock,time,220
1964,Rock,right,216
1964,Rock,said,215
1964,Rock,hand,214
1964,Rock,little,212
1964,Rock,man,207
1964,Rock,natalya,201
1964,Rock,face,194
1964,Rock,would,189
1964,Rock,two,186
1964,Rock,well,181
1965,Avant-Garde & Experimental,love,22
1965,Avant-Garde & Experimental,way,21
1965,Avant-Garde & Experimental,believe,19
1965,Avant-Garde & Experimental,time,16
1965,Avant-Garde & Experimental,would,15
1965,Avant-Garde & Experimental,magic,14
1965,Avant-Garde & Experimental,well,12
1965,Avant-Garde & Experimental,want,12
1965,Avant-Garde & Experimental,home,12
1965,Avant-Garde & Experimental,tell,11
1965,Avant-Garde & Experimental,see,11
1965,Avant-Garde & Experimental,coming,10
1965,Avant-Garde & Experimental,day,8
1965,Avant-Garde & Experimental,find,8
1965,Avant-Garde & Experimental,back,8
1965,Avant-Garde & Experimental,make,8
1965,Avant-Garde & Experimental,one,8
1965,Avant-Garde & Experimental,fighting,7
1965,Avant-Garde & Experimental,morning,7
1965,Avant-Garde & Experimental,movin,7
1965,Avant-Garde & Experimental,said,7
1965,Avant-Garde & Experimental,try,7
1965,Avant-Garde & Experimental,easy,6
1965,Avant-Garde & Experimental,hard,6
1965,Avant-Garde & Experimental,music,6
1965,Blues & Soul,says,3718
1965,Blues & Soul,mam,1917
1965,Blues & Soul,know,1852
1965,Blues & Soul,get,1622
1965,Blues & Soul,one,1525
1965,Blues & Soul,dad,1334
1965,Blues & Soul,back,1323
1965,Blues & Soul,home,1177
1965,Blues & Soul,tell,1168
1965,Blues & Soul,mother,1152
1965,Blues & Soul,malachy,1125
1965,Blues & Soul,see,1111
1965,Blues & Soul,want,1102
1965,Blues & Soul,tells,1087
1965,Blues & Soul,man,1069
1965,Blues & Soul,never,1049
1965,Blues & Soul,say,1007
1965,Blues & Soul,day,989
1965,Blues & Soul,said,970
1965,Blues & Soul,going,968
1965,Blues & Soul,come,944
1965,Blues & Soul,bed,927
1965,Blues & Soul,would,915
1965,Blues & Soul,little,913
1965,Blues & Soul,head,902
1965,Children's,yesterday,9
1965,Children's,big,7
1965,Children's,well,6
1965,Children's,movies,5
1965,Children's,make,5
1965,Children's,play,5
1965,Children's,star,5
1965,Children's,see,4
1965,Children's,naturally,4
1965,Children's,know,4
1965,Children's,act,4
1965,Children's,believe,3
1965,Children's,away,3
1965,Children's,gotta,3
1965,Children's,part,3
1965,Children's,need,3
1965,Children's,man,3
1965,Children's,bet,2
1965,Children's,biggest,2
1965,Children's,ever,2
1965,Children's,fool,2
1965,Children's,game,2
1965,Children's,hide,2
1965,Children's,hit,2
1965,Children's,hope,2
1965,Christian,one,30
1965,Christian,ringo,27
1965,Christian,doo,25
1965,Christian,every,24
1965,Christian,world,21
