song_rank,release_year,song_id,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
90,1964,1T9ioGKEPXIyMtRL7pOO4l,142787,9,1,4,0.610000,0.399,0.90400,0.0000000,0.8200,-6.528,0.1510,0.8990,158.689
91,1964,3Hh5o5GUOveghI5l7DrvgT,155933,3,1,4,0.573000,0.502,0.66900,0.0000000,0.3210,-9.225,0.0525,0.6980,172.154
92,1964,1KrJhqZF4HJ2y8Z5O7zyWT,165827,9,1,3,0.559000,0.177,0.19300,0.0000099,0.1860,-16.643,0.0429,0.2560,183.411
93,1964,36bdQ20bomVkGt6FGD96lu,174640,0,1,4,0.683000,0.602,0.56600,0.0000000,0.5570,-10.499,0.0349,0.8700,125.157
94,1964,5cbVOpAECzRwlkFgd1wypR,150973,4,1,4,0.713000,0.667,0.62800,0.0000283,0.4660,-6.130,0.0318,0.9060,130.123
95,1964,5xhP0ie13xzoWAvfmsb6vn,135000,4,1,4,0.453000,0.590,0.56800,0.0000000,0.7460,-9.234,0.0317,0.9640,119.287
96,1964,7orZfo1mFmGZRCI6j4ln2O,176493,4,0,4,0.689000,0.407,0.54900,0.9610000,0.5400,-9.975,0.0352,0.5250,115.305
97,1964,48Ji4tkYnrCT44PYlkyQrk,150933,4,1,4,0.481000,0.650,0.67300,0.0000158,0.1100,-11.816,0.0446,0.9300,150.250
98,1964,0ulPILleWfE1NBzUWIiNi9,182573,10,1,4,0.878000,0.596,0.36600,0.0026300,0.2300,-14.933,0.0325,0.8530,145.717
99,1964,1hBjIqiezIKgUXN4QIePb8,126040,9,0,4,0.038200,0.545,0.65100,0.8580000,0.1370,-10.237,0.0319,0.9620,149.591
100,1964,2TMm8uoO8g80pY5tOzkPqU,140547,3,1,4,0.781000,0.556,0.88200,0.0000000,0.2040,-8.223,0.1080,0.8550,148.492
1,1965,2qhASBzpbFhPRtrnZ5lLnz,218013,0,1,3,0.396000,0.339,0.20800,0.0005190,0.1800,-16.725,0.0308,0.2880,98.540
2,1965,2PzU4IB8Dr6mxV3lHuaG34,222813,2,1,4,0.034800,0.725,0.85300,0.1270000,0.1960,-7.842,0.0353,0.9040,136.282
3,1965,6gJyJsLvGVCQane5HVV9rC,163747,5,0,4,0.771000,0.571,0.42400,0.8810000,0.1110,-11.109,0.0368,0.5020,79.956
4,1965,3dzW0SoVNyJTWWJimX8stj,145293,4,0,4,0.579000,0.523,0.80300,0.0000000,0.0948,-5.189,0.0450,0.8980,132.316
5,1965,7DD7eSuYSC5xk2ArU62esN,139560,6,0,4,0.188000,0.534,0.72500,0.0000000,0.0994,-7.576,0.0332,0.7630,95.003
6,1965,5qBqBdfTEIWJwAS0Jm2F5R,229360,2,1,4,0.135000,0.452,0.81800,0.0000272,0.0520,-8.124,0.0439,0.7550,124.474
7,1965,6rLqjzGV5VMLDWEnuUqi8q,165227,2,1,4,0.011500,0.559,0.58300,0.0002910,0.1720,-9.300,0.0405,0.3150,126.038
8,1965,745H5CctFr12Mo7cqa1BMH,165000,0,1,4,0.635000,0.572,0.41800,0.0000000,0.0961,-10.738,0.0349,0.6940,104.566
9,1965,6VzM9C7CXyn1BQdgTJVqDx,176627,1,1,4,0.181000,0.747,0.67100,0.0000052,0.0610,-5.737,0.0332,0.6810,120.980
10,1965,263Iuyk08ks1v6FIudUIGD,175080,4,1,4,0.028900,0.579,0.87700,0.5710000,0.0656,-8.830,0.0488,0.9000,126.336
11,1965,0U2qjjKAGyednhFU0fxw1B,131840,10,1,4,0.518000,0.353,0.66100,0.0000029,0.2320,-10.699,0.0593,0.6420,152.771
12,1965,2HCaIYjkvWSZzaSKUoOh3d,149467,2,1,4,0.513000,0.456,0.47000,0.0000376,0.4440,-9.564,0.0294,0.6390,120.336
13,1965,2zF8ro2hX0aEYaqXQdEKW1,177773,0,1,4,0.323000,0.653,0.49000,0.0000041,0.0832,-10.106,0.0408,0.9630,110.202
14,1965,2271qTmPggEs2srV3i4g2e,128973,4,0,4,0.238000,0.407,0.67900,0.9290000,0.8140,-9.465,0.0359,0.8550,149.195
15,1965,2jaN6NgXflZTj2z9CWcqaP,179133,5,1,4,0.294000,0.526,0.64500,0.0000031,0.1070,-9.012,0.0375,0.4160,99.636
16,1965,6drEsDrLJEeRJwGwgPgmJU,161533,1,1,3,0.882000,0.213,0.21300,0.0000316,0.0633,-11.896,0.0345,0.5190,206.983
16,1965,2gZpW5pTZkimGG98loFSl2,184333,5,1,3,0.902000,0.237,0.37700,0.0000000,0.1310,-8.798,0.0287,0.4790,173.142
18,1965,7CZiDzGVjUssMSOXrDNYHL,189680,9,1,4,0.045700,0.519,0.85000,0.0000000,0.2330,-6.777,0.0678,0.7490,123.419
19,1965,1Zi2ezNOqt9y9irC11xYpN,215827,2,1,4,0.387000,0.613,0.30700,0.0000045,0.0870,-17.385,0.0414,0.7890,117.305
20,1965,7piKtR55k2SsnV7I01ncNI,152360,10,1,4,0.782000,0.335,0.16300,0.0000000,0.3160,-17.254,0.0310,0.5130,84.315
21,1965,1fjOO2k5k2vjg6TrvPJ2NS,186400,1,1,4,0.826000,0.454,0.40600,0.0000000,0.0961,-9.536,0.0314,0.4780,106.053
22,1965,5xM7bDmr2KUynKX6OfZufi,160413,9,1,4,0.729000,0.587,0.41400,0.0001230,0.1060,-12.680,0.0296,0.4970,124.016
23,1965,06YcuDoEZvMcxgzvtzJTz4,119373,7,1,4,0.761000,0.789,0.50100,0.0000000,0.1810,-9.064,0.0342,0.9450,120.214
24,1965,2WjW8DjQru6Ic4KvYDqLys,174307,0,1,4,0.023400,0.691,0.52500,0.0000493,0.3880,-11.074,0.0276,0.5370,121.211
25,1965,2wTdZ6wy0AJp5LcYzWcVt5,153147,9,1,4,0.492000,0.675,0.58800,0.0000095,0.0953,-11.031,0.0457,0.9400,82.949
26,1965,3AhXZa8sUQht0UEdBJgpGc,369600,0,1,4,0.729000,0.483,0.72100,0.0000000,0.1890,-6.836,0.0320,0.5620,95.261
27,1965,1udKn1oNKYQSQ9OmiIWCMu,125827,0,1,4,0.218000,0.552,0.74200,0.0000000,0.3390,-7.963,0.0454,0.7510,138.591
28,1965,5e3isD5st7PGYzSJuoRSIV,161587,4,0,4,0.297000,0.530,0.87300,0.0000000,0.0521,-5.105,0.1180,0.5830,162.154
29,1965,2CT08rpgdut8qQs7IAzMGi,163293,9,1,4,0.380000,0.374,0.99100,0.0007190,0.0929,-1.101,0.0813,0.5100,95.105
30,1965,3Qg7WE98qRezh4Jq9fCKr8,227013,2,1,4,0.666000,0.321,0.40300,0.3410000,0.1890,-13.115,0.0344,0.2600,94.675
31,1965,3aCbwWCYCT3MJjZeUnlcp4,166027,0,0,4,0.437000,0.632,0.68600,0.0000000,0.1930,-6.116,0.0395,0.6500,121.414
32,1965,3sFnC76vUu0dtHUM5Z5bLL,149851,0,1,4,0.526000,0.674,0.73100,0.0000000,0.2720,-8.116,0.0332,0.8340,122.097
33,1965,5cCItHE4snA8rxkQspxIG7,142524,9,0,4,0.160000,0.532,0.72400,0.0002660,0.0838,-6.168,0.0337,0.8590,128.558
34,1965,6AxrqcdIE5lSjXxKUyBAU0,142067,5,1,4,0.323000,0.409,0.52100,0.0000000,0.0752,-12.979,0.0418,0.7340,149.893
35,1965,55Z0KHofKqhOMIOygAVXxm,166907,2,1,4,0.308000,0.519,0.48100,0.0000105,0.1210,-9.796,0.0283,0.4800,109.246
36,1965,06oBmaDk2mQDe6kIE4aXYX,119187,2,1,4,0.633000,0.620,0.24100,0.0000000,0.0715,-12.481,0.0281,0.5390,106.888
37,1965,4ggveFmRU0REGh6bVwxHqg,110493,7,0,4,0.828000,0.473,0.47400,0.6500000,0.2980,-13.870,0.0340,0.8030,72.980
38,1965,2jWmwKhTJIvruGqRq7BJLZ,155000,5,1,4,0.829000,0.413,0.30400,0.0000000,0.2000,-16.244,0.0331,0.4240,115.774
39,1965,3TlIt0ReIxPsVZcOEivT5U,119800,0,1,4,0.579000,0.518,0.71700,0.0000000,0.1980,-10.014,0.0600,0.9210,92.492
40,1965,1WPqawIF9HCKfSOt7mN6X0,181640,2,0,4,0.113000,0.616,0.81800,0.0022200,0.0490,-9.279,0.0465,0.8850,129.353
41,1965,3WLEVNohakzZmMpN5W7mHK,264853,5,1,4,0.154000,0.531,0.64200,0.2790000,0.0584,-12.702,0.3230,0.1920,82.107
42,1965,6QyQmdvQ1ywNccYa0pwLNQ,174360,7,1,4,0.699000,0.502,0.33300,0.0000000,0.2220,-10.914,0.0264,0.7290,96.982
43,1965,5s3zYvzEpBk0WbG6AgFUBK,165787,7,1,4,0.484000,0.615,0.72100,0.0000000,0.1280,-9.703,0.0328,0.9670,129.596
44,1965,1zbo64lsdu5s67XpqMdbiz,169813,9,1,3,0.691000,0.164,0.21500,0.0000153,0.1050,-16.643,0.0343,0.1690,82.783
45,1965,7mkhdRep3PFme6KECigXsS,178147,3,1,4,0.331000,0.547,0.24500,0.0000000,0.2200,-15.926,0.0356,0.2270,124.575
46,1965,34Ibs5Fkbs4QF3uqkzm2oo,170533,10,1,4,0.797000,0.654,0.39700,0.0000584,0.1250,-12.007,0.0385,0.7110,108.527
47,1965,3nsJGZ5RV2ZHkbKvD771gU,164160,7,1,3,0.810000,0.185,0.34400,0.0000000,0.1660,-9.378,0.0295,0.4240,178.635
48,1965,7JoPxqrnT3eq02AnflBSiN,177507,8,0,4,0.027300,0.669,0.84800,0.0869000,0.0881,-10.072,0.0300,0.6610,102.048
49,1965,1qZcepZC1sulgWKM1y9LYs,164960,10,1,4,0.809000,0.646,0.46200,0.0000000,0.1080,-9.887,0.0317,0.8310,84.471
50,1965,6YUYgnSHC9lFOzMg1hHKCq,152227,3,1,3,0.791000,0.490,0.49700,0.0000000,0.7220,-12.229,0.0479,0.6990,93.538
51,1965,3UVwuwDtDu7ebH119q7y4a,151293,4,1,4,0.829000,0.761,0.53800,0.0000000,0.2350,-9.269,0.0455,0.9600,114.007
52,1965,1uzcPl4GZSU9Ysl1ZcMLTb,174627,3,1,4,0.125000,0.516,0.69300,0.0000170,0.0577,-5.814,0.0266,0.9140,101.227
53,1965,4NRQwaks9r58tTDvr4iEyv,154947,4,1,4,0.224000,0.790,0.55300,0.0000000,0.0972,-7.108,0.0386,0.8730,111.544
54,1965,3NfRDjn2EVKA87kFXE0NH8,160000,6,1,4,0.919000,0.429,0.11400,0.0000898,0.1080,-20.639,0.0387,0.4060,99.575
55,1965,5llZqDjRHnn5pAUswFqQCf,165947,5,1,4,0.053300,0.755,0.69500,0.0000000,0.2950,-6.560,0.0281,0.8510,125.256
56,1965,4KRLWRl1bFjnXhY5MgZWrM,151693,4,1,4,0.738000,0.660,0.80100,0.0000104,0.6270,-8.446,0.1150,0.8670,104.374
57,1965,7LWUt6WCJsTUBjVl2GhpOK,132453,1,1,4,0.109000,0.537,0.42400,0.0000000,0.2380,-11.448,0.0562,0.6650,119.392
58,1965,66ark8uqwtus4LkRSTn8UG,159133,11,0,4,0.261000,0.506,0.41000,0.0000000,0.1780,-9.521,0.0275,0.4870,104.114
59,1965,6Bd0PY42QkzbxPvW7zPgWN,179573,5,1,4,0.656000,0.233,0.52500,0.0000078,0.1820,-11.233,0.0469,0.7900,210.874
60,1965,4oHcMcbUjbPK7zKyx4dQln,170027,2,1,4,0.791000,0.396,0.50600,0.0000000,0.1950,-10.540,0.0289,0.7780,91.896
61,1965,6aXKbU2QGsOms8UT3eUOg1,173813,3,1,3,0.452000,0.385,0.30600,0.0000074,0.1280,-12.167,0.0297,0.5460,173.377
62,1965,5DNmWyeY9sildeeHnmIImG,193987,9,1,4,0.671000,0.357,0.52700,0.0036300,0.2010,-8.990,0.0357,0.4080,81.564
63,1965,64XGEsoQZEUB3wuOipZjb1,137693,0,1,3,0.762000,0.496,0.42100,0.0003030,0.1760,-13.538,0.0272,0.4270,112.303
64,1965,5hMiw5HRmIKgtI6lTC9JSA,185960,0,1,4,0.762000,0.412,0.60400,0.0000000,0.0964,-6.677,0.0527,0.6240,124.867
64,1965,0zhbuGipWggtIVw2A1hrUT,158493,10,1,4,0.507000,0.593,0.59500,0.0005600,0.1200,-11.343,0.0607,0.9250,83.299
66,1965,4JodKyl2EbwUCLxDWrvAw5,213013,7,1,4,0.146000,0.415,0.31300,0.1040000,0.1320,-11.505,0.0271,0.3590,97.167
67,1965,12w6nPwHLEwgdvJu3vHoRF,146707,9,1,4,0.320000,0.858,0.46500,0.0006040,0.0753,-13.434,0.0729,0.7030,117.961
68,1965,2DdtOIqWNDcrPEDAJv0VFe,196680,1,1,4,0.200000,0.692,0.63000,0.0000064,0.6040,-11.612,0.0442,0.9320,128.965
69,1965,51bcLxmqO6C4bCHQOKecpM,142560,4,0,4,0.714000,0.467,0.77200,0.0000000,0.1070,-6.307,0.0337,0.7000,68.121
70,1965,5lSElmz9CNo1FZJRwrmnQx,193733,5,1,3,0.621000,0.306,0.49500,0.0000000,0.3700,-7.663,0.0273,0.6660,165.462
71,1965,4rB2bQq7cxr4lpveycGy0R,147533,8,1,3,0.642000,0.259,0.48600,0.0000000,0.0792,-5.641,0.0332,0.5120,131.010
72,1965,5z6CfS8CJ2fnmF5BZ5FCUN,162653,1,1,4,0.531000,0.452,0.57400,0.0000000,0.0913,-6.019,0.0286,0.3510,106.204
